ConnectorName~  Audeo~ Audiobook~ Audioteka~ BezKartek~ Bookoteka~ BooksOn~ CzeskieKlimaty~ Czytio~ DobryEbook~ Empik~ EscapeMagazine~ FantastykaPolska~ Helion~ KodeksyWmp3~ Koobe~ Latarnik~ Legimi~ Merlin~ Nexto~ Pokatne~ RW2010~ Selkar~ TaniaKsiazka~ Tmc~ Virtualo~ Wikibooks~ Woblink~ WolneEbooki~ Zantes~ ZielonaSowa~ Zinamon~ ZloteMysli~ eClicto~ 
add_to_cart_url~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./url_koszyk~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
advanced_booking~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./przedsprzedazDO~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
alert~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./alert~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
api_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./issues/issue/net_api_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
audio_time~ ~ ~ ~ ./audioTime~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
authors~ ./attrs/a[@name='Autor']~ ~ ~ ./authors~ ./*[contains(name(), 'author_')]~ ./n:attrs/n:a[@name='Autor']~ ./attrs/a[@name='Autor']~ ./authors~ ./autor~ ~ ./*[contains(name(), 'authors_')]~ ./description/div[@class='field field-name-field-autor field-type-taxonomy-term-reference field-label-inline inline clearfix']/ul/li/a~ ./autor~ ~ ./property[@name='author']~ ~ ~ ./autor~ ./issues/issue/author~ ./authors~ ./autor~ author~ ~ ~ ./authors~ ~ ~ ./author~ ./*[contains(name(), 'authors_')]~ ~ ./autorzy~ ~ ./attrs/a[@name='Autor']~ 
availability~ @avail~ ~ ~ ~ ~ @avail~ ~ ~ ~ ./availability~ ~ ~ ~ ~ ~ @avail~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @avail~ ~ ~ ~ ~ ~ @avail~ 
awId~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @awId~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
baset~ ~ ~ ~ ~ ~ @baset~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
binding~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./oprawa~ ~ ~ ~ ~ ~ ~ ~ ~ cover~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
book_size~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./format~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
bookshop~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./marka~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
brand~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./brand~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
carrier~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./nosnik~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
categories~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./*[contains(name(), 'categories_')]~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./*[contains(name(), 'categories_')]~ ~ ~ ~ ~ 
